Timestamp,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change,Sell_%_Change
2026-02-23 09:43:41,YESBANK,20.99,700050,489949,210101,-1.55,24.38
2026-02-23 09:44:12,IDEA,11.05,6892943,2174964,4717979,0.71,-49.77
2026-02-23 09:44:12,YESBANK,20.99,662292,412052,250240,-5.39,-15.9
2026-02-23 09:45:46,IDEA,11.03,6692558,3517866,3174692,-1.19,3.86
2026-02-23 09:45:46,YESBANK,20.97,598791,286161,312630,-0.72,-21.47
2026-02-23 09:46:17,IDEA,11.04,7031129,3309035,3722094,5.06,-5.94
2026-02-23 09:46:17,YESBANK,20.96,829942,424495,405447,38.6,48.34
2026-02-23 09:46:48,IDEA,11.03,7116248,3173410,3942838,1.21,-4.1
2026-02-23 09:46:48,YESBANK,20.98,752726,310651,442075,-9.3,-26.82
2026-02-23 09:47:39,IDEA,11.04,7457118,2536294,4920824,4.3,-8.88
2026-02-23 09:47:39,YESBANK,20.99,711210,406286,304924,2.1,-3.83
2026-02-23 09:48:10,IDEA,11.04,7877021,2685759,5191262,5.63,5.89
2026-02-23 09:48:10,YESBANK,20.98,721615,407820,313795,1.46,0.38
2026-02-23 09:48:40,IDEA,11.05,8288133,2855009,5433124,5.22,6.3
2026-02-23 09:48:41,YESBANK,20.98,761204,440957,320247,5.49,8.13
2026-02-23 09:49:11,IDEA,11.06,4186767,2984189,1202578,-49.48,4.52
2026-02-23 09:49:11,YESBANK,20.99,731669,532684,198985,-3.88,20.8
2026-02-23 09:49:42,IDEA,11.07,4615090,3946814,668276,10.23,32.26
2026-02-23 09:49:42,YESBANK,21.01,487179,619435,-132256,-33.42,16.29
2026-02-23 09:50:12,IDEA,11.06,4348492,4227130,121362,-5.78,7.1
2026-02-23 09:50:12,YESBANK,21.0,827184,579096,248088,69.79,-6.51
2026-02-23 09:51:01,IDEA,11.06,4417975,4159781,258194,0,0
2026-02-23 09:51:02,YESBANK,20.98,973739,602514,371225,0,0
2026-02-23 09:51:32,IDEA,11.07,4397074,4252297,144777,-0.47,2.22
2026-02-23 09:51:32,YESBANK,20.99,983163,630054,353109,0.97,4.57
2026-02-23 09:52:03,IDEA,11.08,3948153,4086231,-138078,-10.21,-3.91
2026-02-23 09:52:03,YESBANK,20.99,982659,672720,309939,-0.05,6.77
2026-02-23 09:52:33,IDEA,11.07,3873996,4298532,-424536,-1.88,5.2
2026-02-23 09:52:33,YESBANK,20.98,871266,557291,313975,-11.34,-17.16
2026-02-23 09:53:04,IDEA,11.07,4516672,4563312,-46640,16.59,6.16
2026-02-23 09:53:04,YESBANK,20.98,673988,636476,37512,-22.64,14.21
2026-02-23 09:53:34,IDEA,11.05,4836226,4896999,-60773,7.07,7.31
2026-02-23 09:53:34,YESBANK,20.96,901429,506987,394442,33.75,-20.34
2026-02-23 09:54:05,IDEA,11.05,7838103,5406876,2431227,62.07,10.41
2026-02-23 09:54:05,YESBANK,20.95,990078,492305,497773,9.83,-2.9
2026-02-23 09:54:35,IDEA,11.05,7399185,5569809,1829376,-5.6,3.01
2026-02-23 09:54:35,YESBANK,20.96,1057992,473410,584582,6.86,-3.84
2026-02-23 09:55:06,IDEA,11.05,7548304,5366182,2182122,2.02,-3.66
2026-02-23 09:55:06,YESBANK,20.96,988363,541323,447040,-6.58,14.35
2026-02-23 09:55:36,IDEA,11.05,7297029,5471696,1825333,-3.33,1.97
2026-02-23 09:55:36,YESBANK,20.96,975254,568290,406964,-1.33,4.98
2026-02-23 09:56:07,IDEA,11.04,7474421,4956867,2517554,2.43,-9.41
2026-02-23 09:56:07,YESBANK,20.98,693734,513630,180104,-28.87,-9.62
2026-02-23 09:56:37,IDEA,11.05,7839301,4729071,3110230,4.88,-4.6
2026-02-23 09:56:37,YESBANK,20.98,1112103,605529,506574,60.31,17.89
2026-02-23 09:57:08,IDEA,11.06,4023989,4760059,-736070,-48.67,0.66
2026-02-23 09:57:08,YESBANK,20.97,1109662,501386,608276,-0.22,-17.2
2026-02-23 09:57:38,IDEA,11.06,4529595,4583980,-54385,12.56,-3.7
2026-02-23 09:57:39,YESBANK,20.97,1105091,598453,506638,-0.41,19.36
2026-02-23 09:58:09,IDEA,11.06,4172102,6012886,-1840784,-7.89,31.17
2026-02-23 09:58:09,YESBANK,20.97,1121493,606417,515076,1.48,1.33
2026-02-23 09:58:39,IDEA,11.05,7462020,6894769,567251,78.86,14.67
2026-02-23 09:58:40,YESBANK,20.96,1100643,581999,518644,-1.86,-4.03
2026-02-23 09:59:11,IDEA,11.04,7476550,6370856,1105694,0.19,-7.6
2026-02-23 09:59:11,YESBANK,20.97,984670,554856,429814,-10.54,-4.66
2026-02-23 09:59:41,IDEA,11.04,6936972,6339022,597950,-7.22,-0.5
2026-02-23 09:59:41,YESBANK,20.96,899404,624012,275392,-8.66,12.46
2026-02-23 10:00:12,IDEA,11.03,7379015,6179458,1199557,6.37,-2.52
2026-02-23 10:00:12,YESBANK,20.96,809489,612097,197392,-10.0,-1.91
2026-02-23 10:00:42,IDEA,11.03,7590851,4387351,3203500,2.87,-29.0
2026-02-23 10:00:42,YESBANK,20.95,1050325,350115,700210,29.75,-42.8
2026-02-23 10:01:23,IDEA,11.03,7651578,5187342,2464236,0.8,18.23
2026-02-23 10:01:23,YESBANK,20.96,1164343,644623,519720,10.86,84.12
2026-02-23 10:02:01,IDEA,11.04,7946705,4776511,3170194,3.86,-7.92
2026-02-23 10:02:01,YESBANK,20.96,1179688,585018,594670,1.32,-9.25
2026-02-23 10:02:31,IDEA,11.05,8534404,5270057,3264347,7.4,10.33
2026-02-23 10:02:31,YESBANK,20.95,816341,480520,335821,-30.8,-17.86
2026-02-23 10:03:02,IDEA,11.05,8620330,4889855,3730475,1.01,-7.21
2026-02-23 10:03:02,YESBANK,21.0,244819,811825,-567006,-70.01,68.95
2026-02-23 10:03:32,IDEA,11.05,8847129,4690333,4156796,2.63,-4.08
2026-02-23 10:03:33,YESBANK,20.98,491162,786583,-295421,100.62,-3.11
2026-02-23 10:04:03,IDEA,11.04,8649270,5188341,3460929,-2.24,10.62
2026-02-23 10:04:03,YESBANK,20.98,502581,725628,-223047,2.32,-7.75
2026-02-23 10:04:33,IDEA,11.05,8628226,5027189,3601037,-0.24,-3.11
2026-02-23 10:04:34,YESBANK,20.99,456143,711077,-254934,-9.24,-2.01
2026-02-23 10:05:04,IDEA,11.05,8906569,5054141,3852428,3.23,0.54
2026-02-23 10:05:04,YESBANK,20.98,530063,533218,-3155,16.21,-25.01
2026-02-23 10:05:47,IDEA,11.02,7448330,4302492,3145838,-16.37,-14.87
2026-02-23 10:05:47,YESBANK,20.98,961110,645534,315576,81.32,21.06
2026-02-23 10:06:17,IDEA,11.02,7697384,5070402,2626982,3.34,17.85
2026-02-23 10:06:17,YESBANK,20.97,704956,678986,25970,-26.65,5.18
2026-02-23 10:06:47,IDEA,11.02,6941079,5298034,1643045,-9.83,4.49
2026-02-23 10:06:48,YESBANK,20.98,680811,785864,-105053,-3.43,15.74
2026-02-23 10:07:20,IDEA,11.01,5199667,5391377,-191710,-25.09,1.76
2026-02-23 10:07:20,YESBANK,20.99,607417,806312,-198895,-10.78,2.6
2026-02-23 10:07:57,IDEA,11.01,5063167,5420200,-357033,-2.63,0.53
2026-02-23 10:07:57,YESBANK,20.98,654562,705707,-51145,7.76,-12.48
2026-02-23 10:08:28,IDEA,11.02,5640428,5081954,558474,11.4,-6.24
2026-02-23 10:08:28,YESBANK,20.99,688832,779259,-90427,5.24,10.42
2026-02-23 10:08:58,IDEA,11.02,5794084,5736917,57167,2.72,12.89
2026-02-23 10:08:58,YESBANK,20.99,705935,816955,-111020,2.48,4.84
2026-02-23 10:09:29,IDEA,11.01,5962109,5911572,50537,2.9,3.04
2026-02-23 10:09:29,YESBANK,20.98,736544,720468,16076,4.34,-11.81
2026-02-23 10:10:09,IDEA,11.01,5151944,6341224,-1189280,-13.59,7.27
2026-02-23 10:10:09,YESBANK,20.98,595099,733005,-137906,-19.2,1.74
2026-02-23 10:10:46,IDEA,11.01,4620275,5289502,-669227,-10.32,-16.59
2026-02-23 10:10:46,YESBANK,20.98,1020069,728550,291519,71.41,-0.61
2026-02-23 10:11:17,IDEA,11.01,3648924,4866878,-1217954,-21.02,-7.99
2026-02-23 10:11:17,YESBANK,20.98,621554,659564,-38010,-39.07,-9.47
2026-02-23 10:11:59,IDEA,10.98,2712378,5574671,-2862293,-0.24,-0.61
2026-02-23 10:11:59,YESBANK,20.98,509351,647148,-137797,-44.92,56.53
2026-02-23 10:12:29,IDEA,10.99,5070852,4511759,559093,86.95,-19.07
2026-02-23 10:12:29,YESBANK,20.97,448862,546367,-97505,-11.88,-15.57
2026-02-23 10:13:00,IDEA,10.99,4866968,4309032,557936,-4.02,-4.49
2026-02-23 10:13:00,YESBANK,20.98,516222,502967,13255,15.01,-7.94
2026-02-23 10:13:30,IDEA,10.98,5058605,4456891,601714,3.94,3.43
2026-02-23 10:13:30,YESBANK,20.98,516534,486220,30314,0.06,-3.33
2026-02-23 10:14:01,IDEA,10.99,3375324,5303891,-1928567,-33.28,19.0
2026-02-23 10:14:01,YESBANK,20.97,858771,425793,432978,66.26,-12.43
2026-02-23 10:14:31,IDEA,10.98,4132540,4960476,-827936,22.43,-6.47
2026-02-23 10:14:31,YESBANK,20.97,854217,465964,388253,-0.53,9.43
2026-02-23 10:15:02,IDEA,10.98,3806178,5044920,-1238742,-7.9,1.7
2026-02-23 10:15:02,YESBANK,21.0,554728,815087,-260359,-35.06,74.92
2026-02-23 10:15:32,IDEA,10.99,4344327,4163142,181185,14.14,-17.48
2026-02-23 10:15:33,YESBANK,20.98,595327,772119,-176792,7.32,-5.27
2026-02-23 10:16:03,IDEA,10.97,4330473,4451297,-120824,-0.32,6.92
