Timestamp,Time,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change_3min,Sell_%_Change_3min,Signal
2026-02-25 09:50:54,09:50:54,YESBANK,20.78,1227995,443585,784410,-0.65,5.96,NEUTRAL
2026-02-25 09:51:25,09:51:25,IDEA,10.87,4603301,3744779,858522,14.94,-8.09,BUY SIGNAL
2026-02-25 09:51:25,09:51:25,YESBANK,20.79,1179174,501375,677799,-4.95,15.95,NEUTRAL
2026-02-25 09:51:56,09:51:56,IDEA,10.88,4196380,3782716,413664,2.78,-7.4,NEUTRAL
2026-02-25 09:51:56,09:51:56,YESBANK,20.8,1334829,337513,997316,6.46,-19.45,NEUTRAL
2026-02-25 09:52:26,09:52:26,IDEA,10.89,4746998,3417200,1329798,12.91,-14.36,BUY SIGNAL
2026-02-25 09:52:26,09:52:26,YESBANK,20.79,1280040,415490,864550,1.63,-2.42,NEUTRAL
2026-02-25 09:52:57,09:52:57,IDEA,10.88,4057286,3826568,230718,-5.1,-1.97,NEUTRAL
2026-02-25 09:52:57,09:52:57,YESBANK,20.79,1275425,433233,842192,1.17,1.78,NEUTRAL
2026-02-25 09:53:27,09:53:27,IDEA,10.87,4108901,3548214,560687,-3.64,-7.06,NEUTRAL
2026-02-25 09:53:27,09:53:27,YESBANK,20.8,1261589,478133,783456,0.14,9.94,NEUTRAL
2026-02-25 09:53:58,09:53:58,IDEA,10.87,3687966,4211631,-523665,-12.89,12.16,SELL SIGNAL
2026-02-25 09:53:58,09:53:58,YESBANK,20.79,1242870,435179,807691,-1.54,0.39,NEUTRAL
2026-02-25 09:54:28,09:54:28,IDEA,10.86,4146080,3701589,444491,-0.27,-1.24,NEUTRAL
2026-02-25 09:54:28,09:54:28,YESBANK,20.79,1252465,460275,792190,-1.73,7.88,NEUTRAL
2026-02-25 09:54:59,09:54:59,IDEA,10.86,4849007,3777438,1071569,13.67,0.81,BUY SIGNAL
2026-02-25 09:54:59,09:54:59,YESBANK,20.78,1449028,394756,1054272,12.02,-9.5,BUY SIGNAL
2026-02-25 09:55:29,09:55:29,IDEA,10.86,4799344,3244088,1555256,12.27,-12.75,BUY SIGNAL
2026-02-25 09:55:29,09:55:29,YESBANK,20.79,1336177,451446,884731,2.55,2.1,NEUTRAL
2026-02-25 09:56:00,09:56:00,IDEA,10.87,5035732,3169625,1866107,13.47,-12.17,BUY SIGNAL
2026-02-25 09:56:00,09:56:00,YESBANK,20.8,1243402,455100,788302,-4.18,2.08,NEUTRAL
2026-02-25 10:14:12,10:14:12,IDEA,10.93,6205828,4130372,2075456,29.63,11.46,BUY SIGNAL
2026-02-25 10:14:12,10:14:12,YESBANK,20.83,1013861,812972,200889,-19.3,62.07,NEUTRAL
2026-02-25 10:14:43,10:14:43,IDEA,10.93,6809399,3791611,3017788,28.3,4.29,BUY SIGNAL
2026-02-25 10:14:43,10:14:43,YESBANK,20.83,928094,827566,100528,-22.91,45.95,NEUTRAL
2026-02-25 10:15:14,10:15:14,IDEA,10.94,4276778,4025665,251113,-19.75,9.1,NEUTRAL
2026-02-25 10:15:14,10:15:14,YESBANK,20.83,1035122,778897,256225,-11.35,25.6,NEUTRAL
2026-02-25 10:15:44,10:15:44,IDEA,10.94,4333194,4240293,92901,-17.36,12.57,NEUTRAL
2026-02-25 10:15:44,10:15:44,YESBANK,20.83,688894,776321,-87427,-33.82,13.54,SELL SIGNAL
2026-02-25 10:16:14,10:16:14,IDEA,10.94,5175229,3410945,1764284,-2.47,-10.11,NEUTRAL
2026-02-25 10:16:15,10:16:15,YESBANK,20.85,338249,664071,-325822,-61.33,-7.66,NEUTRAL
2026-02-25 10:16:45,10:16:45,IDEA,10.95,4722321,4174838,547483,-10.12,5.36,NEUTRAL
2026-02-25 10:16:45,10:16:45,YESBANK,20.86,333361,769096,-435735,-53.89,-0.31,NEUTRAL
2026-02-25 10:17:15,10:17:15,IDEA,10.95,4703534,4657080,46454,-5.99,14.99,NEUTRAL
2026-02-25 10:17:16,10:17:16,YESBANK,20.87,265396,517085,-251689,-55.63,-28.4,NEUTRAL
2026-02-25 10:17:46,10:17:46,IDEA,10.93,4595826,3806464,789362,-0.83,-6.07,NEUTRAL
