Time,Symbol,LTP,Buy_Qty,Sell_Qty,Diff,Prev_Buy,Buy_Diff,Buy_%_Change,Signal
19:12:29,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:30,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:33,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:33,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:36,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:37,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:40,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:40,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:44,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:47,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:50,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:50,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:54,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:54,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:12:57,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:12:57,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:01,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:01,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:04,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:04,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:08,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:08,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:11,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:11,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:14,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
19:13:15,YESBANK,18.94,24536,0,24536,24536,0,0.0,⚪ NEUTRAL
19:13:18,IDEA,9.44,72832,0,72832,72832,0,0.0,⚪ NEUTRAL
